party,iso3,unfccc_yr,unfccc_net,unfccc_gross,primap_yr,primap_net,primap_gross,peak_yr_net,peak_ghg_net,peak_yr_gross,peak_ghg_gross,nz_yr,ndc30_low,ndc30_high,ndc30_lulucf,ndc35_low,ndc35_high,ndc35_lulucf,s2z_aligned_label,s2z_pk_low,s2z_pk_high,s2z_ndc30_low,s2z_ndc30_high,s2z_latest,c1_ghg_p5,c1_ghg_p95,c2_ghg_p5,c2_ghg_p95,c3_ghg_p5,c3_ghg_p95,c4_ghg_p5,c4_ghg_p95,c5_ghg_p5,c5_ghg_p95,c6_ghg_p5,c6_ghg_p95,c7_ghg_p5,c7_ghg_p95,nz_min,nz_max,b2c_min,b2c_max,fw_min,fw_max,cp_min,cp_max
Switzerland,CHE,2023,42052.60309,40753.40498,2024,40296.189,40732.201,2000,57788.34865,1991,56704.01014,2050,26050,26050,Yes,18264.805972,18264.805972,Yes,Yes,17336.50459499995,17336.50459499995,19537.49999999991,19537.49999999991,23247.80139590848,,,,,,,,,,,,,,,16202.2,37238.5,14464.1,39310.1,36749.89999999999,46338.6,39461.5,44482.2
Syrian Arab Republic,SYR,2005,79215.75,79215.75,2024,47185.429,47185.429,2007,93114.46000000001,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,,46284.2,81287.40000000001,46294.2,87943.8,87975.7,104660.8,87429.3,103578.8
Tajikistan,TJK,2022,19468.14262,20192.23923537169,2024,20203.503,20500.15,,,,,,13045.46483,18263.650762,Yes,,,,,,,,,,,,,,,,,,,,,,,,19668.9,21274.7,19966.6,22650.4,20554.2,24339.6,16455.2,28003
Thailand,THA,2022,276375.4503,384276.8758157022,2024,291149.44,389574.53,,,,,2050,388500,388500,No,137591.1823277505,137591.1823277505,Yes,Yes,,,,,148058.2769464309,,,,,,,,,,,,,,,-103531.6,97297.2,-221960,145302.8,210655.4,304329.7,189674.6,322259.1
Timor-Leste,TLS,2010,1482.62,1276.59,2024,5760.1266,2060.9347,2012,6350.5649,2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Togo,TGO,2018,41704.47,23565.67,2024,51585.63,34231.431,,,,,,15000,24000,Yes,,,,,,,,,,,,,,,,,,,,,,,,34849.60000000001,43298.4,31798.2,44188.3,42362.3,53999,44671.9,54751.8
Tonga,TON,2006,310.5,123.1,2024,-1449.1363,277.41368,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinidad and Tobago,TTO,2022,43714.76,45370.1,2024,35290.026,37996.516,2010,60807.14,2010,63137.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,17982.7,25614.2,18396.7,28315.1,24149.4,33763,24628.6,34947.7
Tunisia,TUN,2023,32879,43745,2024,38273.144,48875.999,,,,,2050,26481,26481,Yes,23242,23242,Yes,No,,,19860.75000000028,19860.75000000028,18266.11111111106,,,,,,,,,,,,,,,35225.2,46261.7,34173.4,59567.6,56289.6,69940.10000000001,55574,72112.60000000001
Turkmenistan,TKM,2021,116010.54,116864.54,2024,85772.874,85772.874,2015,107660.18,2015,108483.18,,,,,,,,,,,,,,,,,,,,,,,,,,,,51068.60000000001,75391.90000000001,52586.6,86042,83621.79999999999,108402.1,84677.2,111842.3
